nct_id,ctgov_group_code,arm_name_bas,age_m,age_s,bmi_m,bmi_s
NCT00439738,B1,Valsartan/HCTZ (Hydrochlorothiazide),55.4,8.5,35.2,7.3
NCT00439738,B2,HCTZ +Amlodipine,56.5,8.6,34.8,6.9
NCT00439738,B3,Total,55.95,8.55,35,7.1
NCT00591578,B1,Azilsartan Medoxomil 40 mg QD,57.8,12.1,30.8,5.7
NCT00591578,B2,Azilsartan Medoxomil 80 mg QD,56.8,10.7,30.7,5.3
NCT00591578,B3,Valsartan 320 mg QD,58.1,10.9,31.2,5.8
NCT00591578,B4,Total,57.56666667,11.23333333,30.9,5.6
NCT00696241,B1,Azilsartan Medoxomil 20 mg QD,57.1,11.02,30.4,5.67
NCT00696241,B2,Azilsartan Medoxomil 40 mg QD,57.4,9.62,30.6,5.94
NCT00696241,B3,Azilsartan Medoxomil 80 mg QD,58.1,11.56,30,5.48
NCT00696241,B4,Olmesartan 40 mg QD,58.9,11.57,29.8,5.25
NCT00696241,B5,Placebo QD,59.4,10.53,30,4.93
NCT00696241,B6,Total,58.04439216,10.89703529,30.17772549,5.51214902
NCT00696436,B1,Azilsartan Medoxomil 40 mg QD,57,12,31.7,6
NCT00696436,B2,Azilsartan Medoxomil 80 mg QD,56,11,30.7,5.9
NCT00696436,B3,Valsartan 320 mg QD,55,11,31.1,5.5
NCT00696436,B4,Olmesartan 40 mg QD,56,11,31.1,5.5
NCT00696436,B5,Placebo QD,56,11,30.5,5.4
NCT00696436,B6,Total,55.99845081,11.21688613,31.07025562,5.684817971
NCT00706134,B1,Placebo,72.3,5.25,,
NCT00706134,B2,Aliskiren 75 mg,,,,
NCT00706134,B3,Aliskiren 150 mg,,,,
NCT00706134,B4,Aliskiren 300 mg,72.1,5.47,,
NCT00706134,B5,Total,,,,
