group	id	oldertrial	meanage	sdmeanage	male	meanbmi	sdmeanbmi	numberpart	followupweeks	anyae	sae	deaths	lowerage	upperage	lowersbp	lowerdbp	workpattern	catchall	compliance	capacity	condrugs	armcirc
A	NCT02177461	1						374	24	120	18		65		160		0	1	1	1	2	1
A	NCT00274599	0						812	14	223	22		18			85	0	0	0	0	0	0
A	NCT00274612	0						801	14	315	13		18			85	1	1	1	1	1	0
B	NCT01615198	1	70.7	4.67	294	24.5	3.19	588	14	254	9	0	65		150		0	0	0	0	0	0
B	NCT01876368	0	57.6	9.65	192			376	8	85	2	0	18		145		0	0	1	0	0	0
B	NCT01599104	0	58.7	10.64	818	25.4	3.66	1161	8	423	9	0	20		140		0	0	0	0	0	0
C	NCT00751829	1						417	32				65		150		0	0	0	0	0	0
C	NCT00185172	0						2333	12				18	75		90	0	0	0	1	0	0
C	NCT00185133	0						1900					18			95	0	1	0	0	0	0
C	NCT00454662	1	74.2	2.83	2653	24.28	3.4	5141	171.6	1399	464	140	65	84	140	90	0	1	0	0	1	0
C	NCT00220220	0	56.8		263	29.1		538	54	105		0	18		160	100	0	1	0	0	0	0
C	NCT00134160	1	73.6	5.4	515	24	3.6	1164	156			20	65	84	140	90	0	1	0	0	1	0
D	NCT00751751	1						441	60				65		150	100	0	0	0	0	0	0
D	NCT00872586	0						304	12				18	75	140	90	0	1	0	0	0	0
D	NCT00949884	0	51.9	9.7	513	32.35	6.35	941	8	293	4	0	18			95	0	1	0	1	0	0
E	NCT00706134	1	72.2	5.4	339	28.36	4.47	754	8	152	6	0	65		150		1	1	0	0	0	1
E	NCT00529451	0	53.2	9.95	731	26.1	3.58	1613	8	237	7	0	18			90	0	1	1	0	0	0
E	NCT01042392	0	60.4	11.5	231			506	8	98	4	0	18		130		0	0	0	0	1	0
E	NCT00368277	1	72.1	5.59	429			901	36	664	62	3	65		140		0	1	0	0	1	0
E	NCT00739973	0	54.1	10.65	858	30.3	5.42	1688	16	587	9	0	18			90	1	1	1	1	1	1
F	NCT00699192	1	71.6	5.27	387	28.23	4.2	819	8	159	8	0	65		155		0	1	1	1	1	0
F	NCT00931710	0	56.1	9.81	275	32.5	6.15	488	12	198	3	0	18		160		0	1	1	1	1	0
F	NCT01167153	0	53.5	8.66	270	25.39	3.12	564	12	46	1		18	65	130	80	0	0	0	0	0	0
G	NCT00698646	1	77.5	4.34	170	28.86	4.91	380	16	214	10	0	70		140		0	1	0	0	1	0
G	NCT00425997	0	57.4	10.35	257	30.85	5.75	482	10	194	5	0	18		160		0	1	0	1	1	0
G	NCT00280540	0	52.6	10	354	32.4	6.7	652	6	335	13	0	18		150	90	0	0	0	1	0	0
H	NCT00264212	1	72.1	6.55	118			392	12	109	11		60	90	160		0	0	0	0	1	0
H	NCT00500604	0						1617	24				18	80	140		0	1	0	0	1	1
H	NCT00095394	0						645	17				18			100	0	0	0	1	0	0
I	NCT00240474	1						872	14	475	37	3	60		141		1	1	0	0	1	0
I	NCT02177435	0						491	8		3		18	80			0	1	0	1	1	0
I	NCT02177500	0						327	12	126	1		18	80			0	1	0	1	1	0
J	NCT00219167	1	73.5	5.78	143			355	8	110	2	0	65		140		1	1	1	1	0	1
J	NCT00705575	0	56.9	10.53	347	30	5.55	688	12	267	6	0	18		160		0	1	1	1	1	1
J	NCT00260923	0			385	30.35	5.55	642	8	232	6	0	18			90	0	1	0	0	0	0
