nct_id,term,est,lci,uci
NCT00168779,placeboplacebo,0.29,0.01,2.62
NCT00170924,placeboplacebo,0.34,0.15,0.73
NCT00219024,placeboplacebo,0.12,0,1.09
NCT00219063,placeboplacebo,0.28,0.08,0.83
NCT00219128,placeboplacebo,0.27,0.01,2.53
NCT00219180,placeboplacebo,0.88,0.3,2.28
NCT00260923,placeboplacebo,1.48,0.22,6.85
NCT00281580,placeboplacebo,1.02,0.02,11.92
NCT00344110,placeboplacebo,3.4,0.25,38.06
NCT00409643,placeboplacebo,2.37,0.53,8.46
NCT00409760,placeboplacebo,1.03,0.1,4.79
NCT00696241,placeboplacebo,2.13,0.57,6.69
NCT00696436,placeboplacebo,1.25,0.22,4.31
NCT00706134,placeboplacebo,0.7,0.08,3.64
NCT00739973,placeboplacebo,2.18,0.39,8.67
NCT00902304,placeboplacebo,1.29,0.77,2.18
NCT00949884,placeboplacebo,1.03,0.02,12.29
NCT01237223,placeboplacebo,0.36,0.01,4.26
NCT01508026,placeboplacebo,20.54,11.49,37.61
