nct_id	country
NCT00034840	Canada
NCT00034840	United States
NCT00095394	Belgium
NCT00095394	Canada
NCT00095394	France
NCT00095394	Germany
NCT00095394	Israel
NCT00095394	Netherlands
NCT00095394	Russian Federation
NCT00095394	United States
NCT00110422	France
NCT00110422	Germany
NCT00110422	Italy
NCT00110422	Norway
NCT00110422	Russian Federation
NCT00110422	Spain
NCT00134160	Japan
NCT00146341	China
NCT00154271	unknown
NCT00168779	United States
NCT00170924	United States
NCT00170963	Germany
NCT00170963	Switzerland
NCT00170989	Germany
NCT00170989	Switzerland
NCT00171002	Germany
NCT00171002	Switzerland
NCT00185172	Austria
NCT00185172	Germany
NCT00185172	Italy
NCT00185172	Netherlands
NCT00185172	Portugal
NCT00185172	Spain
NCT00185172	Switzerland
NCT00185172	United Kingdom
NCT00219024	Germany
NCT00219024	United States
NCT00219037	Germany
NCT00219063	United States
NCT00219076	Germany
NCT00219076	United States
NCT00219102	Belgium
NCT00219102	Romania
NCT00219102	Spain
NCT00219102	Sweden
NCT00219102	Switzerland
NCT00219102	Ukraine
NCT00219102	United States
NCT00219115	Germany
NCT00219115	United States
NCT00219128	United States
NCT00219141	Argentina
NCT00219141	Colombia
NCT00219141	Finland
NCT00219141	Germany
NCT00219141	Italy
NCT00219141	Russian Federation
NCT00219141	Spain
NCT00219141	Sweden
NCT00219141	United States
NCT00219154	Germany
NCT00219154	Switzerland
NCT00219167	Switzerland
NCT00219180	Germany
NCT00219180	United States
NCT00219193	Germany
NCT00219193	United States
NCT00220220	Germany
NCT00220233	Germany
NCT00239369	Denmark
NCT00239369	Finland
NCT00239369	France
NCT00239369	Germany
NCT00239369	Hong Kong
NCT00239369	Ireland
NCT00239369	Italy
NCT00239369	Korea, Republic of
NCT00239369	Malaysia
NCT00239369	Netherlands
NCT00239369	Norway
NCT00239369	South Africa
NCT00239369	Spain
NCT00239369	Sweden
NCT00239369	Switzerland
NCT00239369	Taiwan
NCT00240448	United States
NCT00240474	Belgium
NCT00240474	Denmark
NCT00240474	Finland
NCT00240474	France
NCT00240474	Germany
NCT00240474	Ireland
NCT00240474	Italy
NCT00240474	Netherlands
NCT00240474	South Africa
NCT00240474	Spain
NCT00260923	Germany
NCT00260923	United States
NCT00262236	Germany
NCT00262236	Switzerland
NCT00264212	Chile
NCT00264212	China
NCT00264212	Indonesia
NCT00264212	Korea, Republic of
NCT00264212	Mexico
NCT00264212	Philippines
NCT00264212	Taiwan
NCT00264212	Thailand
NCT00273299	United States
NCT00274599	Canada
NCT00274599	United States
NCT00274612	Austria
NCT00274612	France
NCT00274612	Germany
NCT00274612	Netherlands
NCT00274612	South Africa
NCT00274612	Spain
NCT00274612	Switzerland
NCT00274612	United Kingdom
NCT00277472	United States
NCT00280540	United States
NCT00281580	Argentina
NCT00281580	Brazil
NCT00281580	Mexico
NCT00281580	South Africa
NCT00281580	United States
NCT00294710	Germany
NCT00294710	United States
NCT00316095	Czech Republic
NCT00316095	France
NCT00316095	Germany
NCT00316095	Hong Kong
NCT00316095	Korea, Republic of
NCT00316095	Netherlands
NCT00316095	Russian Federation
NCT00316095	Slovakia
NCT00316095	South Africa
NCT00316095	Sweden
NCT00316095	Taiwan
NCT00316095	Ukraine
NCT00327145	Switzerland
NCT00343551	Germany
NCT00343551	Switzerland
NCT00344110	Japan
NCT00350168	United States
NCT00353912	United States
NCT00386139	Germany
NCT00386139	United States
NCT00387517	Germany
NCT00387517	United States
NCT00400777	Brazil
NCT00409643	Germany
NCT00409643	United States
NCT00409760	Germany
NCT00413049	China
NCT00413413	China
NCT00425373	Japan
NCT00425997	United States
NCT00439738	United States
NCT00454662	Japan
NCT00500604	Egypt
NCT00500604	Hong Kong
NCT00500604	India
NCT00500604	Indonesia
NCT00500604	Korea, Republic of
NCT00500604	Malaysia
NCT00500604	Morocco
NCT00500604	Pakistan
NCT00500604	Philippines
NCT00500604	Singapore
NCT00500604	Taiwan
NCT00500604	Thailand
NCT00500604	Tunisia
NCT00500604	Vietnam
NCT00538486	China
NCT00546754	unknown
NCT00550953	Japan
NCT00553267	Australia
NCT00553267	Austria
NCT00553267	Bulgaria
NCT00553267	Czech Republic
NCT00553267	Ireland
NCT00553267	Italy
NCT00553267	New Zealand
NCT00553267	Russian Federation
NCT00553267	Slovakia
NCT00553267	Spain
NCT00553267	Switzerland
NCT00553267	Turkey
NCT00553267	Ukraine
NCT00553267	United Kingdom
NCT00558064	Japan
NCT00558428	Belgium
NCT00558428	Canada
NCT00558428	Denmark
NCT00558428	Finland
NCT00558428	France
NCT00558428	Korea, Republic of
NCT00558428	Netherlands
NCT00558428	Norway
NCT00558428	Philippines
NCT00558428	South Africa
NCT00558428	Sweden
NCT00558428	Taiwan
NCT00591578	Chile
NCT00591578	Mexico
NCT00591578	Peru
NCT00591578	United States
NCT00614380	Belgium
NCT00614380	Canada
NCT00614380	Denmark
NCT00614380	Finland
NCT00614380	France
NCT00614380	Korea, Republic of
NCT00614380	Netherlands
NCT00614380	Norway
NCT00614380	Philippines
NCT00614380	South Africa
NCT00614380	Sweden
NCT00614380	Taiwan
NCT00624052	Australia
NCT00624052	Austria
NCT00624052	Bulgaria
NCT00624052	Czech Republic
NCT00624052	Ireland
NCT00624052	Italy
NCT00624052	New Zealand
NCT00624052	Russian Federation
NCT00624052	Slovakia
NCT00624052	Spain
NCT00624052	Ukraine
NCT00624052	United Kingdom
NCT00631917	Argentina
NCT00631917	Colombia
NCT00631917	France
NCT00631917	Germany
NCT00631917	India
NCT00631917	Spain
NCT00631917	United States
NCT00649389	Puerto Rico
NCT00649389	United States
NCT00687973	France
NCT00696241	Argentina
NCT00696241	Mexico
NCT00696241	United States
NCT00696436	Argentina
NCT00696436	Brazil
NCT00696436	Mexico
NCT00696436	Peru
NCT00696436	Puerto Rico
NCT00696436	United States
NCT00739973	Argentina
NCT00739973	Australia
NCT00739973	Canada
NCT00739973	Colombia
NCT00739973	Denmark
NCT00739973	Finland
NCT00739973	Greece
NCT00739973	Italy
NCT00739973	Mexico
NCT00739973	Panama
NCT00739973	Peru
NCT00739973	Romania
NCT00739973	Russian Federation
NCT00739973	South Africa
NCT00739973	Spain
NCT00739973	Sweden
NCT00739973	Taiwan
NCT00739973	United States
NCT00750113	Italy
NCT00750113	Spain
NCT00751751	Germany
NCT00751829	Germany
NCT00760266	United States
NCT00765674	Australia
NCT00765674	Canada
NCT00765674	Denmark
NCT00765674	Germany
NCT00765674	Israel
NCT00765674	Italy
NCT00765674	Latvia
NCT00765674	Lithuania
NCT00765674	Romania
NCT00765674	Sweden
NCT00765674	Turkey
NCT00765674	United States
NCT00777946	Estonia
NCT00777946	France
NCT00777946	Iceland
NCT00777946	India
NCT00777946	Italy
NCT00777946	Korea, Republic of
NCT00777946	Lithuania
NCT00777946	Spain
NCT00777946	Venezuela
NCT00778921	Argentina
NCT00778921	Germany
NCT00778921	Norway
NCT00778921	Poland
NCT00778921	Slovakia
NCT00778921	Sweden
NCT00778921	Turkey
NCT00797316	United States
NCT00809926	United States
NCT00841672	Germany
NCT00841672	Philippines
NCT00841672	Romania
NCT00841672	Russian Federation
NCT00841672	Singapore
NCT00841672	Spain
NCT00846365	Chile
NCT00846365	Mexico
NCT00846365	United States
NCT00853957	United States
NCT00860262	Bulgaria
NCT00860262	Czech Republic
NCT00860262	France
NCT00860262	Hungary
NCT00860262	Korea, Republic of
NCT00860262	Romania
NCT00860262	Russian Federation
NCT00860262	Slovakia
NCT00860262	Spain
NCT00860262	Ukraine
NCT00860262	United States
NCT00865020	Brazil
NCT00865020	Canada
NCT00865020	Ecuador
NCT00865020	Germany
NCT00865020	Hungary
NCT00865020	Korea, Republic of
NCT00865020	Malaysia
NCT00865020	Mexico
NCT00865020	Panama
NCT00865020	Philippines
NCT00865020	Singapore
NCT00865020	Slovakia
NCT00865020	Spain
NCT00865020	Turkey
NCT00865020	United Kingdom
NCT00865020	Venezuela
NCT00872586	China
NCT00877929	Argentina
NCT00877929	Korea, Republic of
NCT00877929	Mexico
NCT00877929	Netherlands
NCT00877929	Slovakia
NCT00877929	South Africa
NCT00877929	Spain
NCT00877929	Sweden
NCT00877929	United States
NCT00902304	Australia
NCT00902304	United States
NCT00902538	Austria
NCT00902538	Belgium
NCT00902538	Bulgaria
NCT00902538	Czechia
NCT00902538	Denmark
NCT00902538	France
NCT00902538	Germany
NCT00902538	Netherlands
NCT00902538	Poland
NCT00902538	Romania
NCT00902538	Russian Federation
NCT00902538	Slovakia
NCT00902538	Spain
NCT00902538	Ukraine
NCT00923091	Belgium
NCT00923091	Bulgaria
NCT00923091	Czechia
NCT00923091	Denmark
NCT00923091	Germany
NCT00923091	Hungary
NCT00923091	Italy
NCT00923091	Latvia
NCT00923091	Netherlands
NCT00923091	Poland
NCT00923091	Romania
NCT00923091	Russian Federation
NCT00923091	Slovakia
NCT00923091	Spain
NCT00923091	Ukraine
NCT00926289	Bulgaria
NCT00926289	China
NCT00926289	France
NCT00926289	Georgia
NCT00926289	Korea, Republic of
NCT00926289	Romania
NCT00926289	Russian Federation
NCT00926289	United States
NCT00931710	United States
NCT00942994	United States
NCT00956644	Brazil
NCT00956644	Chile
NCT00956644	Colombia
NCT00956644	Egypt
NCT00956644	Lebanon
NCT00956644	Mexico
NCT00956644	Morocco
NCT00956644	Tunisia
NCT00956644	Venezuela
NCT00957554	Brazil
NCT00957554	Colombia
NCT00957554	Guatemala
NCT00957554	Mexico
NCT00957554	Morocco
NCT00957554	Tunisia
NCT00957554	United Arab Emirates
NCT00957554	Venezuela
NCT00993109	China
NCT00993109	Korea, Republic of
NCT00996281	Austria
NCT00996281	Germany
NCT00996281	Netherlands
NCT00996281	Poland
NCT00996281	United Kingdom
NCT01001572	unknown
NCT01033071	Canada
NCT01033071	United States
NCT01071122	Korea, Republic of
NCT01075698	Japan
NCT01101009	Spain
NCT01237223	Japan
NCT01508026	United States
NCT01518855	Japan
NCT01615198	China
NCT01615198	Hong Kong
NCT01615198	Japan
NCT01615198	Korea, Republic of
NCT01615198	Philippines
NCT01615198	Taiwan
NCT01615198	Thailand
NCT01785472	China
NCT01785472	Hong Kong
NCT01785472	Korea, Republic of
NCT01785472	Philippines
NCT01785472	Singapore
NCT01785472	Taiwan
NCT01785472	Thailand
NCT01838850	Korea, Republic of
NCT01928628	Korea, Republic of
NCT01975246	Japan
NCT02172586	unknown
NCT02177409	unknown
NCT02177435	unknown
NCT02177461	unknown
NCT02177500	unknown
NCT02183701	unknown
NCT02200653	unknown
NCT02242318	unknown
NCT02269176	unknown
NCT02738632	Korea, Republic of
NCT00368277	United States
NCT00529451	China
NCT00529451	India
NCT00529451	Thailand
NCT00698646	United States
NCT00699192	Czech Republic
NCT00699192	Finland
NCT00699192	France
NCT00699192	Germany
NCT00699192	Hungary
NCT00699192	Italy
NCT00699192	Poland
NCT00699192	Slovakia
NCT00699192	Spain
NCT00699192	Sweden
NCT00705575	Argentina
NCT00705575	Ecuador
NCT00705575	Germany
NCT00705575	Guatemala
NCT00705575	Italy
NCT00705575	Switzerland
NCT00705575	Turkey
NCT00705575	United States
NCT00706134	Argentina
NCT00706134	Czech Republic
NCT00706134	Germany
NCT00706134	Iceland
NCT00706134	Italy
NCT00706134	Netherlands
NCT00706134	Poland
NCT00706134	Slovakia
NCT00949884	United States
NCT01042392	France
NCT01167153	China
NCT01599104	Japan
NCT01876368	Argentina
NCT01876368	Guatemala
NCT01876368	Philippines
NCT01876368	Puerto Rico
NCT01876368	Russian Federation
NCT01876368	Spain
NCT01876368	United States
